id	reversible	fast	lowerFluxBound	upperFluxBound
R_HMR_3905	false	false	FB2N0	FB3N1000
R_HMR_3907	false	false	FB2N0	FB3N1000
R_HMR_4097	false	false	FB2N0	FB3N1000
R_HMR_4099	false	false	FB2N0	FB3N1000
R_HMR_4108	false	false	FB2N0	FB3N1000
R_HMR_4133	false	false	FB2N0	FB3N1000
R_HMR_4137	false	false	FB2N0	FB3N1000
R_HMR_4281	true	false	FB1N1000	FB3N1000
R_HMR_4388	true	false	FB1N1000	FB3N1000
R_HMR_4283	false	false	FB2N0	FB3N1000
R_HMR_8357	false	false	FB2N0	FB3N1000
R_HMR_4379	false	false	FB2N0	FB3N1000
R_HMR_4301	false	false	FB2N0	FB3N1000
R_HMR_4355	false	false	FB2N0	FB3N1000
R_HMR_4358	false	false	FB2N0	FB3N1000
R_HMR_4360	false	false	FB2N0	FB3N1000
R_HMR_4363	true	false	FB1N1000	FB3N1000
R_HMR_4365	true	false	FB1N1000	FB3N1000
R_HMR_4368	true	false	FB1N1000	FB3N1000
R_HMR_4370	false	false	FB2N0	FB3N1000
R_HMR_4371	false	false	FB2N0	FB3N1000
R_HMR_4372	false	false	FB2N0	FB3N1000
R_HMR_4373	true	false	FB1N1000	FB3N1000
R_HMR_4375	true	false	FB1N1000	FB3N1000
R_HMR_4377	false	false	FB2N0	FB3N1000
R_HMR_4381	true	false	FB1N1000	FB3N1000
R_HMR_4391	true	false	FB1N1000	FB3N1000
R_HMR_4394	false	false	FB2N0	FB3N1000
R_HMR_4396	true	false	FB1N1000	FB3N1000
R_HMR_4521	false	false	FB2N0	FB3N1000
R_HMR_6410	false	false	FB2N0	FB3N1000
R_HMR_6412	false	false	FB2N0	FB3N1000
R_HMR_7745	true	false	FB1N1000	FB3N1000
R_HMR_7746	false	false	FB2N0	FB3N1000
R_HMR_7747	false	false	FB2N0	FB3N1000
R_HMR_7748	true	false	FB1N1000	FB3N1000
R_HMR_7749	true	false	FB1N1000	FB3N1000
R_HMR_8360	false	false	FB2N0	FB3N1000
R_HMR_8652	false	false	FB2N0	FB3N1000
R_HMR_8757	false	false	FB2N0	FB3N1000
R_HMR_3989	false	false	FB2N0	FB3N1000
R_HMR_4122	false	false	FB2N0	FB3N1000
R_HMR_4837	false	false	FB2N0	FB3N1000
R_HMR_5395	false	false	FB2N0	FB3N1000
R_HMR_5396	false	false	FB2N0	FB3N1000
R_HMR_9727	false	false	FB2N0	FB3N1000
R_HMR_5397	false	false	FB2N0	FB3N1000
R_HMR_5398	false	false	FB2N0	FB3N1000
R_HMR_5399	false	false	FB2N0	FB3N1000
R_HMR_5400	false	false	FB2N0	FB3N1000
R_HMR_5401	false	false	FB2N0	FB3N1000
R_HMR_8568	false	false	FB2N0	FB3N1000
R_HMR_8569	false	false	FB2N0	FB3N1000
R_HMR_8570	false	false	FB2N0	FB3N1000
R_HMR_8571	false	false	FB2N0	FB3N1000
R_HMR_8572	false	false	FB2N0	FB3N1000
R_HMR_8573	false	false	FB2N0	FB3N1000
R_HMR_8574	false	false	FB2N0	FB3N1000
R_HMR_8575	false	false	FB2N0	FB3N1000
R_HMR_8576	false	false	FB2N0	FB3N1000
R_HMR_8577	false	false	FB2N0	FB3N1000
R_HMR_8578	false	false	FB2N0	FB3N1000
R_HMR_8579	false	false	FB2N0	FB3N1000
R_HMR_8581	false	false	FB2N0	FB3N1000
R_HMR_8591	false	false	FB2N0	FB3N1000
R_HMR_8592	false	false	FB2N0	FB3N1000
R_HMR_8580	false	false	FB2N0	FB3N1000
R_HMR_8582	false	false	FB2N0	FB3N1000
R_HMR_8587	false	false	FB2N0	FB3N1000
R_HMR_8589	false	false	FB2N0	FB3N1000
R_HMR_8583	false	false	FB2N0	FB3N1000
R_HMR_8584	false	false	FB2N0	FB3N1000
R_HMR_8585	false	false	FB2N0	FB3N1000
R_HMR_3944	false	false	FB2N0	FB3N1000
R_HMR_4128	true	false	FB1N1000	FB3N1000
R_HMR_4130	false	false	FB2N0	FB3N1000
R_HMR_4131	true	false	FB1N1000	FB3N1000
R_HMR_4132	false	false	FB2N0	FB3N1000
R_HMR_4303	false	false	FB2N0	FB3N1000
R_HMR_4414	false	false	FB2N0	FB3N1000
R_HMR_4415	false	false	FB2N0	FB3N1000
R_HMR_4416	false	false	FB2N0	FB3N1000
R_HMR_4774	true	false	FB1N1000	FB3N1000
R_HMR_4775	true	false	FB1N1000	FB3N1000
R_HMR_4831	true	false	FB1N1000	FB3N1000
R_HMR_4832	true	false	FB1N1000	FB3N1000
R_HMR_7674	false	false	FB2N0	FB3N1000
R_HMR_8761	false	false	FB2N0	FB3N1000
R_HMR_8762	true	false	FB1N1000	FB3N1000
R_HMR_8764	false	false	FB2N0	FB3N1000
R_HMR_8766	true	false	FB1N1000	FB3N1000
R_HMR_8767	false	false	FB2N0	FB3N1000
R_HMR_0454	false	false	FB2N0	FB3N1000
R_HMR_4297	false	false	FB2N0	FB3N1000
R_HMR_4310	false	false	FB2N0	FB3N1000
R_HMR_4315	true	false	FB1N1000	FB3N1000
R_HMR_4316	true	false	FB1N1000	FB3N1000
R_HMR_4317	false	false	FB2N0	FB3N1000
R_HMR_4318	false	false	FB2N0	FB3N1000
R_HMR_4319	false	false	FB2N0	FB3N1000
R_HMR_4320	false	false	FB2N0	FB3N1000
R_HMR_4356	false	false	FB2N0	FB3N1000
R_HMR_4383	true	false	FB1N1000	FB3N1000
R_HMR_4385	false	false	FB2N0	FB3N1000
R_HMR_4386	false	false	FB2N0	FB3N1000
R_HMR_4387	false	false	FB2N0	FB3N1000
R_HMR_4399	false	false	FB2N0	FB3N1000
R_HMR_4400	false	false	FB2N0	FB3N1000
R_HMR_4401	true	false	FB1N1000	FB3N1000
R_HMR_4402	true	false	FB1N1000	FB3N1000
R_HMR_4403	false	false	FB2N0	FB3N1000
R_HMR_4490	false	false	FB2N0	FB3N1000
R_HMR_4706	false	false	FB2N0	FB3N1000
R_HMR_8768	false	false	FB2N0	FB3N1000
R_HMR_4590	false	false	FB2N0	FB3N1000
R_HMR_4591	false	false	FB2N0	FB3N1000
R_HMR_4592	true	false	FB1N1000	FB3N1000
R_HMR_4593	false	false	FB2N0	FB3N1000
R_HMR_4594	false	false	FB2N0	FB3N1000
R_HMR_4595	true	false	FB1N1000	FB3N1000
