From src:'1'	To src:'7'
CHEMBL1338375	108136
CHEMBL30953	114452
CHEMBL1431944	109834
CHEMBL1328913	135233
CHEMBL1562836	121717
CHEMBL1446880	107600
CHEMBL1208644	7770
CHEMBL1364	16709
CHEMBL1475137	92716
CHEMBL1691	643228
CHEMBL1903707	95282
CHEMBL2107256	64243
CHEMBL1491962	92476
CHEMBL614	45285
CHEMBL295698	47518
CHEMBL79834	64207
CHEMBL77785	219815
CHEMBL2135984	129506
CHEMBL374308	52722
CHEMBL2137046	92076
CHEMBL1487677	82451
CHEMBL1383858	116283
CHEMBL1535520	115547
CHEMBL2262843	3456
CHEMBL1427	17368
CHEMBL1200629	9940
CHEMBL449062	15382
CHEMBL1289601	85994
CHEMBL1927954	69149
CHEMBL3560964	130502
CHEMBL339695	18350
CHEMBL1449344	53454
CHEMBL2106238	31572
CHEMBL495276	4544
CHEMBL1615211	32797
CHEMBL1362009	107967
CHEMBL485271	65712
CHEMBL1622385	103861
CHEMBL129918	28719
CHEMBL1363746	105303
CHEMBL1201766	135193
CHEMBL1518447	116841
CHEMBL2111157	135479
CHEMBL2357643	97347
CHEMBL1384594	112217
CHEMBL1369865	105975
CHEMBL2170855	78039
CHEMBL350775	135847
CHEMBL113	27732
CHEMBL1409635	114412
CHEMBL336908	40326
CHEMBL1358525	92225
CHEMBL169046	42977
CHEMBL3184301	68459
CHEMBL305686	29014
CHEMBL1372960	106077
CHEMBL1802677	88349
CHEMBL2110796	135175
CHEMBL1364961	121476
CHEMBL20377	92304
CHEMBL456340	132722
CHEMBL1618062	70646
CHEMBL1348205	123214
CHEMBL1394135	92167
CHEMBL1616951	50156
CHEMBL223142	66437
CHEMBL1555183	31637
CHEMBL20775	81455
CHEMBL1734066	121714
CHEMBL86795	36669
CHEMBL86795	36670
CHEMBL1393687	111374
CHEMBL1489386	121630
CHEMBL521287	65809
CHEMBL463210	34631
CHEMBL1360045	121021
CHEMBL463796	132342
CHEMBL286398	16997
CHEMBL461628	3104
CHEMBL11873	84254
CHEMBL33778	2696
CHEMBL1035	223792
CHEMBL4213960	18515
CHEMBL1469709	113223
CHEMBL1906026	39311
CHEMBL206452	23053
CHEMBL90452	73930
CHEMBL1624924	104105
CHEMBL2228956	132906
CHEMBL1689795	69922
CHEMBL9666	104020
CHEMBL1311760	114334
CHEMBL1308287	108523
CHEMBL2106646	144424
CHEMBL1598175	123203
CHEMBL1348435	115615
CHEMBL1565192	27929
CHEMBL162111	88308
CHEMBL330546	422
CHEMBL1707391	120697
CHEMBL1410143	121911
CHEMBL1588172	119909
CHEMBL2142363	95124
CHEMBL2349426	145092
CHEMBL3185634	39163
CHEMBL1689179	69984
CHEMBL1300960	119911
CHEMBL314010	238698
CHEMBL1724463	93340
CHEMBL1086446	53556
CHEMBL2110826	134805
CHEMBL1555791	121595
CHEMBL1623663	103866
CHEMBL1802141	67360
CHEMBL1275655	7572
CHEMBL1552969	92846
CHEMBL445813	91326
CHEMBL4294913	63497
CHEMBL2355432	100751
CHEMBL1234720	78695
CHEMBL233360	39959
CHEMBL1414529	109627
CHEMBL1235254	44920
CHEMBL2355724	96315
CHEMBL1326607	105658
CHEMBL1535164	105698
CHEMBL1725	63578
CHEMBL1321371	107436
CHEMBL2252753	80808
CHEMBL1689089	68388
CHEMBL1603534	59167
CHEMBL531221	120520
CHEMBL1802042	68101
CHEMBL63756	5122
CHEMBL925	58315
CHEMBL925	17895
CHEMBL1464549	116813
CHEMBL117080	15739
CHEMBL159249	156510
CHEMBL3306254	34663
CHEMBL134752	124985
CHEMBL1200420	6932
CHEMBL226430	39376
CHEMBL1580129	105850
CHEMBL1623315	103856
CHEMBL484430	32389
CHEMBL1870371	83426
CHEMBL551154	82447
CHEMBL519167	68658
CHEMBL3039042	92205
CHEMBL462797	68701
CHEMBL462797	68192
CHEMBL2104612	135311
CHEMBL448500	49000
CHEMBL1584562	108365
CHEMBL1723222	124316
CHEMBL1318287	55326
CHEMBL1222322	74540
CHEMBL1908315	135626
CHEMBL1502218	108372
CHEMBL1689080	69950
CHEMBL483857	93782
CHEMBL2106851	135797
CHEMBL466179	114991
CHEMBL489967	65739
CHEMBL1373777	109249
CHEMBL1314160	92581
CHEMBL1721855	74727
CHEMBL1566001	92057
